"","group","sample_name","Batch"
"6372","hrGFP","hrGFP_6372","19.11.18"
"6373","hrGFP","hrGFP_6373","19.11.18"
"6374","hrGFP","hrGFP_6374","19.11.18"
"6375","hrGFP","hrGFP_6375","19.11.18"
"6383","hrGFP","hrGFP_6383","19.11.18"
"6384","hrGFP","hrGFP_6384","19.11.18"
"6385","hrGFP","hrGFP_6385","19.11.18"
"6388","hrGFP","hrGFP_6388","19.11.18"
"6412","hrGFP","hrGFP_6412","23.11.18"
"6414","hrGFP","hrGFP_6414","23.11.18"
"6543","hrGFP","hrGFP_6543","17.12.18"
"6556","hrGFP","hrGFP_6556","17.12.18"
"6557","hrGFP","hrGFP_6557","17.12.18"
"6558","hrGFP","hrGFP_6558","17.12.18"
"6560","hrGFP","hrGFP_6560","17.12.18"
"6562","hrGFP","hrGFP_6562","17.12.18"
"6563","hrGFP","hrGFP_6563","17.12.18"
"6564","hrGFP","hrGFP_6564","17.12.18"
"6565","hrGFP","hrGFP_6565","17.12.18"
"6566","hrGFP","hrGFP_6566","17.12.18"
"6567","hrGFP","hrGFP_6567","17.12.18"
"6568","hrGFP","hrGFP_6568","17.12.18"
"6924","hrGFP","hrGFP_6924","17.01.19"
"6925","hrGFP","hrGFP_6925","17.01.19"
"6931","hrGFP","hrGFP_6931","17.01.19"
"6932","hrGFP","hrGFP_6932","17.01.19"
"6933","hrGFP","hrGFP_6933","17.01.19"
"6934","hrGFP","hrGFP_6934","17.01.19"
"6935","hrGFP","hrGFP_6935","17.01.19"
"6378","shSLK","shSLK_6378","19.11.18"
"6379","shSLK","shSLK_6379","19.11.18"
"6380","shSLK","shSLK_6380","19.11.18"
"6381","shSLK","shSLK_6381","19.11.18"
"6382","shSLK","shSLK_6382","19.11.18"
"6389","shSLK","shSLK_6389","19.11.18"
"6391","shSLK","shSLK_6391","19.11.18"
"6392","shSLK","shSLK_6392","19.11.18"
"6393","shSLK","shSLK_6393","19.11.18"
"6394","shSLK","shSLK_6394","19.11.18"
"6396","shSLK","shSLK_6396","23.11.18"
"6400","shSLK","shSLK_6400","23.11.18"
"6403","shSLK","shSLK_6403","23.11.18"
"6404","shSLK","shSLK_6404","23.11.18"
"6405","shSLK","shSLK_6405","23.11.18"
"6406","shSLK","shSLK_6406","23.11.18"
"6407","shSLK","shSLK_6407","23.11.18"
"6409","shSLK","shSLK_6409","23.11.18"
"6410","shSLK","shSLK_6410","23.11.18"
"6411","shSLK","shSLK_6411","23.11.18"
"6545","shSLK","shSLK_6545","17.12.18"
"6546","shSLK","shSLK_6546","17.12.18"
"6547","shSLK","shSLK_6547","17.12.18"
"6548","shSLK","shSLK_6548","17.12.18"
"6549","shSLK","shSLK_6549","17.12.18"
"6550","shSLK","shSLK_6550","17.12.18"
"6551","shSLK","shSLK_6551","17.12.18"
"6553","shSLK","shSLK_6553","17.12.18"
"6554","shSLK","shSLK_6554","17.12.18"
"6570","shSLK","shSLK_6570","17.12.18"
"6571","shSLK","shSLK_6571","17.12.18"
"6572","shSLK","shSLK_6572","17.12.18"
"6573","shSLK","shSLK_6573","17.12.18"
"6574","shSLK","shSLK_6574","17.12.18"
"6926","shSLK","shSLK_6926","17.01.19"
"6927","shSLK","shSLK_6927","17.01.19"
"6928","shSLK","shSLK_6928","17.01.19"
"6929","shSLK","shSLK_6929","17.01.19"
"6930","shSLK","shSLK_6930","17.01.19"
"6415","Striatum","Striatum_6415","23.11.18"
"6416","Striatum","Striatum_6416","23.11.18"
"6542","Striatum","Striatum_6542","23.11.18"
"6569","Unknown","Unknown_6569","17.12.18"
"6923","Unknown","Unknown_6923","17.12.18"
